,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
80,6.207093384097111,0.5200205801199638,0.04300377234416382,-0.6302472938842875,0.7166034130301843,0.43039957077372054,0.12224462361330671,1.0463908009397542,0.9514397291111707,0.838952827524752,0.9884438917368068,0.8809218787487596,0.6324322808281388,1.076924028948723
81,6.370083836372647,0.5299706518603222,-0.03168635264889946,-0.657289375263366,0.5938870752092476,0.390537453870922,0.10977264090530083,1.0360160395569165,0.9529298012097196,0.8314253266957463,0.9901091723474718,0.8839593810637592,0.6402728735224462,1.081988750382825
82,6.536579634205232,0.5401111082343341,-0.032491373837562704,-0.6322761481872925,0.5474750407876442,0.3678137209001847,0.10381368330642765,0.9726594222522663,0.9594243435771449,0.8415120324500582,0.991731676381642,0.9021384341276891,0.6623920452427894,1.086750169672687
83,6.706603691236406,0.5504455920608321,0.02261396882557687,-0.5550785976145971,0.5905776517064055,0.3584870099197579,0.09824616509469246,0.9429333839219406,0.9624230349008698,0.8530060489042559,0.9920478593712188,0.9001309627983886,0.6658413281040835,1.0821372892645549
84,6.836449148310662,0.5583260161014446,0.015871859286093557,-0.5285010274619614,0.5715007931540576,0.34188444688429953,0.09525327245690599,0.912950171515676,0.963099625743065,0.8561138096811948,0.9923618923118152,0.8961716331340761,0.6623105121977061,1.0842813931468018
85,7.012693145756433,0.5690090239036288,-0.008957787096939581,-0.5626201202970553,0.5630153148035759,0.35417147571444196,0.10028131570445696,0.9026623981421835,0.9583006904475636,0.8567942299267297,0.9904298284928054,0.8852565078824258,0.661840864752943,1.093352713708976
86,7.147221247683246,0.5771552102951079,-0.04258399445692393,-0.642638394856984,0.509271467649653,0.35665377411042404,0.09948174954356251,0.9511873541741744,0.9560176334717296,0.8522245881275494,0.9904819893900112,0.8837155689694087,0.6626930983939003,1.0855381830835844
87,7.329727457563047,0.5881984958251407,0.0233669400381728,-0.5572813166837167,0.6508155791566991,0.372621053703196,0.1033768883883431,1.0011553223594436,0.9526562183498419,0.8443128402641402,0.9893154456906894,0.8666917613602565,0.6459258886068635,1.0732413604280202
88,7.468962790806977,0.596619407235837,0.020177981383306415,-0.5922790495258976,0.6242098627812426,0.37263179019609144,0.1005858117752925,1.052887413476678,0.9517985411094815,0.8325976243275979,0.9894670000178971,0.864258560575726,0.6436211321915251,1.0688927490054998
89,7.657754221443944,0.6080351206337894,-0.003512924732922535,-0.5836800741426243,0.6373379702116684,0.36123385482037595,0.09788420002022583,1.0723500993700017,0.9532018240493731,0.8346373480888785,0.9903616089277548,0.8772174781104193,0.640171416204295,1.0881344031640336
