,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
44,1.115309430693374,0.1605759932010687,0.012195060549939518,-2.576210623261988,2.037333005831703,1.4988717503331548,0.6834705191162511,3.283447148531038,0.15255624186896755,-0.6305998889033244,0.8499448748335484,0.0883884853461599,-0.4080396797305769,0.954731460162426
45,1.197181863756146,0.1683677232791182,-0.2847968936330711,-2.631073505352251,3.4012826502810865,1.7975951934646315,0.4405454340501147,5.292560938992667,0.5011075131316639,-0.8586225058296437,0.9319243161096954,0.411069073159209,-0.29996332446786766,0.9190316079410513
46,1.2850184010331818,0.1765375363843931,1.5250084708829759,-2.56508243979588,4.027625613558623,2.530494799933018,0.8509760066739025,6.398135407535326,0.6462674673016602,-0.2043093614283643,0.8994644199065617,0.7753623450597827,-0.0660744526123507,0.9786485760262561
47,1.3695201902147043,0.18422877390319162,-0.21197338253451475,-3.2411198572950015,3.7881083525892136,1.7795097175201422,0.5629324769304457,6.304411163530933,0.349474077304889,-0.5482413326064252,0.8983706839083918,0.09380880842944883,-0.31249722811342456,0.9505568860875998
48,1.469878490582777,0.19316822276007173,0.03884053525188681,-6.355047734580114,4.324024664055502,2.956454823443002,0.6341079669937938,7.746270722316329,0.6746452762469528,-0.23104680405994144,0.9004497677980021,0.6468123488333621,-0.11727908542876761,1.0465178380000533
49,1.577506484958674,0.20254144612552438,-0.2924840601242753,-4.578642215253141,2.9268354045897245,2.181935738852333,0.5825803059304703,6.123184338827874,0.8278139090308512,-0.1685331866952564,0.9727404379508956,0.7802446732349546,-0.0728411790627803,1.0427358553781998
50,1.6929110344480442,0.21236949231329916,0.5476720360733549,-2.234410751448207,5.979260163268995,1.8815370087229817,0.5413733706649579,7.961933709613794,0.87099308411469,-0.3176642244309206,0.9793531495057355,0.8133632496481823,-0.08117863194099899,1.0792774682754473
51,1.816629764214748,0.22267443097773348,-0.10572833021719845,-4.1665975163907625,3.5290182800893564,2.4834828777633344,0.7757460408316387,7.212295610730929,0.8632019010202776,-0.27968869250487177,0.9682905335357773,0.5956851566465339,-0.09299689709001324,0.984330998120358
52,1.949231863937383,0.23347940267290615,0.07879462816802983,-6.738137343878107,3.3616273525503577,2.356455141511991,0.5739642884827146,9.278203013895924,0.7872128223067865,-0.7425704642558467,0.9602788200699001,0.3972703032968373,-0.26663380784056456,0.9089593905769598
53,2.0913186379114133,0.24480867081657914,0.5153281250698707,-4.164367124215724,5.444316561371775,2.6360655720161623,0.5872046665968692,9.540908550384584,0.6988474190008687,-0.6369002962250694,0.9441213419103166,0.4442574948562559,-0.24484833506694528,0.9572797985025492
54,2.243523728229641,0.2566876761756205,0.23263959706183657,-4.534120040912866,4.823131979994559,2.6246299891083926,0.6789139956666478,8.389033681171641,0.855308923000957,-0.16476704472875656,0.9659192390354151,0.6107245178295353,-0.030661859404617364,1.0270995844605042
