SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
131,6.4113782,7.4091516,0.8779774,0.5324878,264.17,81.0115837,0,0,264.17,81.0115837,-23317.203,0.22132408917494056,0.33731400222956726,6.528694672830112,1.8121245682293474
132,6.4946258,7.325904,0.8602646,0.5375579,263.338,80.8397225,0,0,263.338,80.8397225,-23922.189,0.18045770345111137,0.301505844018009,6.6230894009483965,1.7505251314043053
133,6.5365796,7.2839502,0.8514709,0.5401111,262.876,80.7116653,0,0,262.876,80.7116653,-26110.248,0.20957774584758587,0.40214815012064853,6.959550504403413,1.9276820241765487
134,6.578754,7.2417758,0.8427188,0.5426764,262.425,80.606619,0,0,262.425,80.606619,-27848.32,0.12049238058656839,0.602092164538112,6.516521280165485,1.7551688239710073
135,6.6637658,7.156764,0.8253385,0.5478436,261.687,80.5322614,0,0,261.687,80.5322614,-28748.877,0.20312945098984814,0.4612018204744307,6.573931786885291,1.6490210066536257
136,6.7066037,7.1139261,0.81671,0.5504456,261.331,80.5187633,0,0,261.331,80.5187633,-26639.85,0.19231907940877435,0.3904133220403747,6.86386809583387,1.5041267835590733
137,6.7929451,7.0275847,0.799575,0.5556868,260.532,80.410548,0,0,260.532,80.410548,-30118.586,0.37192890536467305,0.3984718321284631,5.369047642723554,2.2606356828040015
138,6.8364491,6.9840807,0.7910682,0.558326,260.164,80.3928001,0,0,260.164,80.3928001,-24406.625,0.1464997387892919,0.2759587600331164,6.2775747095156555,2.0322288891865794
139,6.8801757,6.9403541,0.7826017,0.5609778,259.843,80.4163682,0,0,259.843,80.4163682,-26042.297,0.12869002028363272,0.32729630585044156,6.417461680279023,1.40925915573283
140,6.9682975,6.8522323,0.7657884,0.5663193,259.656,80.9074662,0,0,259.656,80.9074662,-28480.777,0.10130638245596542,0.31346292844223955,5.765633713058273,1.1879861373387464
141,7.0126931,6.8078367,0.7574414,0.569009,259.492,81.0819786,0,0,259.492,81.0819786,-29969.287,0.07685904637176957,0.17901363818428612,6.247772663192545,1.2416888022785877
142,7.0573122,6.7632176,0.7491338,0.5717116,259.143,81.1017867,0,0,259.143,81.1017867,-27397.004,0.07068308814534126,0.1944015697099701,6.729896379359504,0.9051460828377081
143,7.1472212,6.6733086,0.7326362,0.5771552,258.5,81.188995,0,0,258.5,81.188995,-29192.348,0.12352494991869152,0.1090741813793986,6.7917758605556,0.7903013206414873
144,7.1925116,6.6280182,0.7244458,0.5798964,258.248,81.2940188,0,0,258.248,81.2940188,-27523.809,0.2931526634023136,0.0625699082893759,6.667024935886717,0.8931165990218095
145,7.238026,6.5825038,0.7162942,0.5826507,257.979,81.4034162,0,0,257.979,81.4034162,-28008.633,0.30072658475858577,0.05174616740923112,5.8147565021325756,0.8785792672773264
146,7.3297275,6.4908023,0.7001064,0.5881985,257.682,81.8408146,0,0,257.682,81.8408146,-28967.453,0.07252493656560678,0.06149526093683854,5.2129434483995,0.571148209329711
147,7.3759147,6.4446151,0.6920698,0.5909922,257.844,82.3620721,0,0,257.844,82.3620721,-32287.109,0.07324802448338921,0.02633130281422899,5.4153649490123215,0.6434752629479874
148,7.4223265,6.3982033,0.6840712,0.5937991,257.79,82.6856656,0,0,257.79,82.6856656,-30843.334,0.09278707416097974,0.03097794102702421,6.360829854132065,0.5826176516202781
149,7.5158237,6.3047061,0.6681873,0.5994531,257.319,82.999538,0,0,257.319,82.999538,-31251.189,0.07479586261744378,0.02951435483205125,7.187112061018456,0.6622853564728611
150,7.5629092,6.2576206,0.6603016,0.6023002,257.003,83.0796146,0,0,257.003,83.0796146,-39340.742,0.13410049422529438,0.03114138135356456,7.91608941884938,0.7759061623088441
151,7.6102194,6.2103104,0.6524532,0.6051609,256.758,83.2274292,0,0,256.758,83.2274292,-38928.035,0.19584206961922515,0.023274585241005837,7.526698518675593,0.8803062372796697
152,7.6577542,6.1627756,0.6446418,0.6080351,256.574,83.448273,0,0,256.574,83.448273,-41554.516,0.16283180734659441,0.01893325606169492,7.850264011082669,0.8346703617219012
153,7.7534978,6.067032,0.6291298,0.6138246,256.229,83.9236607,0,0,256.229,83.9236607,-43884.961,0.10396021399794578,0.041279711233721615,7.7787169901751945,0.8819772887774409
154,7.8017065,6.0188233,0.6214287,0.61674,255.982,84.0968841,0,0,255.982,84.0968841,-40659.156,0.09613067062579124,0.12813004461260574,8.417065769002962,0.9882478344124808
155,7.8501398,5.97039,0.6137641,0.6196693,255.74,84.2681374,0,0,255.74,84.2681374,-37609.719,0.08384855286360676,0.1192734970642168,8.961822491959328,0.7141205597898751
156,7.8987975,5.9217323,0.6061357,0.6226124,255.435,84.3841375,0,0,255.435,84.3841375,-34040.297,0.10791729209717894,0.1289525907491578,8.787909170934851,0.7646539593228184
157,7.996786,5.8237438,0.5909868,0.6285407,254.749,84.5620666,0,0,254.749,84.5620666,-34248.461,0.11393048636991107,0.1470558429889085,7.769501892615313,0.9903509708604386
